Mode,Power,Scan Speed,Spot Size,Ref
1,100,150,55,17
1,100,200,55,17
0,100,250,55,17
0,100,300,55,17
1,200,200,55,17
1,200,300,55,17
1,200,400,55,17
1,200,500,55,17
0,200,600,55,17
0,200,1000,55,17
1,300,300,55,17
1,300,450,55,17
1,300,600,55,17
1,300,750,55,17
1,300,900,55,17
0,300,1500,55,17
1,400,400,55,17
1,400,600,55,17
1,400,800,55,17
1,400,1000,55,17
1,400,1200,55,17
1,400,2000,55,17
1,500,750,55,17
1,500,1000,55,17
1,500,1250,55,17
1,500,1500,55,17
1,137,188,52,19
1,150,100,52,19
0,137,188,130,19
0,150,100,130,19
0,100,800,100,Key and Conduct
0,100,900,100,Key and Conduct
0,100,1000,100,Key and Conduct
0,100,1500,100,Key and Conduct
0,100,1800,100,Key and Conduct
0,150,1100,100,Key and Conduct
0,150,1800,100,Key and Conduct
0,150,1500,100,Key and Conduct
0,200,1500,100,Key and Conduct
0,200,1700,100,Key and Conduct
0,200,1800,100,Key and Conduct
1,250,300,100,Key and Conduct
1,250,400,100,Key and Conduct
1,250,500,100,Key and Conduct
1,200,300,100,Key and Conduct
0,300,1500,55,Keyhole and Conduction
0,300,900,55,Keyhole and Conduction
1,300,450,55,Keyhole and Conduction
1,500,1500,55,Keyhole and Conduction
1,300,750,55,Keyhole and Conduction
0,100,2500,52,Last paper
0,100,1000,52,
1,100,500,52,
1,100,250,52,
0,200,2000,52,
0,200,2700,52,
1,200,1500,52,
1,200,750,52,
0,250,2700,52,
0,250,3000,52,
1,250,2500,52,
1,250,500,52,
0,300,3000,52,
1,400,2500,52,
1,400,500,52,
1,400,250,52,
0,175,2000,52,
0,50,250,52,
0,50,500,52,
1,350,1000,52,
